onca;caseiro;fake news;comment_text;;;;;
neutro;neutro;não;Solta no congresso;;;;;
neutro;neutro;não;vídeo direto, respeitoso, sem sensacionalismo e sem fake news;;;;;
neutro;neutro;não;Essa reportagem foi a melhor parabéns;;;;;
neutro;negativo;não;As patas 🐾 das onças no chão foi um aviso pra seu Jorge ficar mais atento .Infelizmente  a onça  e a morte já estavam rodeando ele.;;;;;
neutro;negativo;não;Se o cara viu que onça estava rondando a casa dele literalmente, deveria ter tomado providencias! Não se brinca com essas coisas!;;;;;
neutro;neutro;não;Os animais são irracional, não age por maldade, age por instinto.Que Deus conforte essa família.;;;;;
neutro;positivo;não;Equipe de reportagem está de parabéns! Minha solidariedade aos familiares e amigos da vítima.;;;;;
neutro;neutro;não;Parabéns pelo vídeo. Sem sensacionalismo e informativo. Coisa rara hoje em dia.;;;;;
neutro;neutro;não;Essa fatalidade só  ocorreu pq várias pessoas que pescavam jogavam peixe para ela comer como a onça é um animal oportunista, nesse local ela tinha água ( rio) e os humanos dando peixe para ela quando iam pescar, ela tomou aquele local como seu território e com isso ela não  via seu Jorge como uma ameaça  e aconteceu o ataque ( pq estava com fome) por estar mal acostumada a ter acesso ao alimento de forma fácil. Predadores nao querem gastar emergia demasiada para caçar  se tiver animais que são  mais faceis de predar ( cães, galinhas, bezerros, porcos) ela vai ficar próxima  ao local é  onde pode acontecer um acidente e infelismente uma fatalidade como essa. Esse animal só  foi capturado pq a probabilidade de ela atacar um ser humano novamente pode ser grande.;;;;;
negativo;negativo;não;É estratégia da onça, observar e marcar o território. <br>A onça já vinha sondando o rancho já há dias, e estava na espreita do caseiro. <br>O ataque era só questão de oportunidade. <br>O caseiro infelizmente vacilou, estava muito tranquilo e despreocupado com as pegadas de duas onças rodeando o local.;;;;;
neutro;neutro;não;Eu sou daqui da região <br>E conheço o pessoal q estava na busca pelo Jorginho <br>E vou deixar vcs realmente informados..<br>No dia q a onça voltou , eles estavam esperando ela armados e na hora q ela pulou pra dentro ,foi bala nela  e já era ..<br>De manhã o pessoal do CRAS chegaram e conseguiram capturar uma das 3 onças q rodeava a casa porq o Jorginho dava comida pra elas ... Essa não é a mesma onça do ataque , <br>Espero q a verdade seja dita logo pela mídia;;;;;
neutro;neutro;não;Minhas condolências a família do sr Jorge 😢😢😢😢;;;;;
neutro;neutro;não;Que tragédia, sentimentos aos familiares 😢;;;;;
positivo;neutro;não;Parabéns pelo vídeo, esses animais são esplêndidos mas não podemos nos esquecer que são selvagens e nós é que estamos no habitat natural deles então devemos respeita-los e termos muito cuidado;;;;;
neutro;neutro;não;Que Deus conforte os corações dos familiares. <br>Parabens, excelente reportagem!;;;;;
neutro;neutro;não;O bixo e lindo porém brabo demais cê tá doído 😮;;;;;
neutro;neutro;não;O meu pai foi atacado por uma...ficou bastante ferido mais Deus livrou🙌🏽 estado do Tocantins;;;;;
negativo;neutro;não;É, infelizmente esses animais ferozes, estão com seus instintos a flor da pele, devido ao desmatamento do próprio ambiente, seja por fogo ou retirada de árvores, e quem paga muitas das vezes é alguém inocente, que Deus tenha misericórdia dos corações enlutados dos familiares em nome de Jesus.;;;;;
negativo;negativo;não;Sabendo que tinha onça, eu nunca ficaria no lugar;;;;;
neutro;negativo;não;Toda pessoa que mora em zona rural tem que além das outras precauções, andar sempre armada para se proteger e proteger a família pois os perigos são inúmeros.;;;;;
negativo;neutro;não;Eles estão tentando acalmar os moradores....mas tem mais onças;;;;;
neutro;negativo;não;Nunca pedimos nada né? 🤣🤣🤣🤣🤣;;;;;
positivo;neutro;não;É uma lástima... A onça é o único felino de grande porte (entre tigre, leão, leopardo e etc) que não nos vê como alimento.<br>Foram situações que se juntaram e que permitiram que este desastre acontecesse. Fica o alerta para todos nós, evite interagir e/ou alimentar animais selvagens.<br>Muito triste. Minhas condolências aos familiares e amigos do seu Jorge.;;;;;
neutro;negativo;não;A onça não come carne de péssima qualidade 😂;;;;;
neutro;neutro;não;Reportagem completa e educativa 😊;;;;;
neutro;neutro;não;É, as palavras tem poder, seja para o bem ou para o mal;;;;;
positivo;neutro;não;Tadinha da onça;;;;;
neutro;negativo;não;O Jorge confiou muito na onça;;;;;
negativo;negativo;não;Informações muito bem postas. <br><br>Ficou-se a impressão de que as onças brigavam pra ver qual iria cacá-lo primeiro. <br>Com o perigo eminente não se brinca, pois são felinos grandes, ágeis, observadores e fortes.;;;;;
negativo;neutro;sim;Até pq uma onça que comeu mais de meio corpo humano estaria de barriga cheia, não magro e desnutrido como foi encontrado esse macho velho ....;;;;;
neutro;neutro;não;Parabéns pela reportagem Sentimento aos familiares;;;;;
positivo;positivo;não;Tadinho de seu Jorginho 🙏 E fica claro que esses animais magníficos de nossa fauna estão passando fome, mas por quê? ...E que zoom maravilhoso da cara da onça.;;;;;
positivo;neutro;não;Acredito que os incêndios do último verão podem ter desequilibrado o ambiente,a ponto de faltarem alimentos para alguns animais,como onças,por exemplo.;;;;;
neutro;positivo;não;Tadinho do Jorge,descanse em paz 💔🖤🥀😭;;;;;
negativo;neutro;sim;Por isso que eu falo os animais estão tendo mais valor que os seres humanos;;;;;
neutro;negativo;sim;​@@MegaLemoslemos Chama o IBAMA, ele estava alimentando a onça em vez ter chamado o IBAMA;;;;;
neutro;neutro;não;😂😂😂😂😂;;;;;
neutro;negativo;não;Tudo indica que o seu Jorge estava acostumado com as onças visitando o local. Talvez por isso ele não se sentia ameaçado e nem tinha medo. Ele mesmo disse que as onças o respeitavam e corriam quando o enxergavam. Com certeza o seu Jorge subestimou o perigo que corria.;;;;;
neutro;neutro;não;Ele devia ter aconselhado o caseiro mas ele ficou bricando com coisa séria;;;;;
neutro;negativo;sim;Muita mancada dar comida pra onças no terreiro de casa.;;;;;
neutro;negativo;não;O cara brincou, brincou, brincou e acabou devorado. Deixa a 5a série na 5a série, a vida adulta exige seriedade. Se ele tivesse agido e tomado providências, não tinha acabado desse jeito. Força para a família que fica, que terá que lidar com uma perda dessa forma trágica.;;;;;
neutro;positivo;não;Que pavor esse senhorzinho passou e que dor deve ter sentido 😢😢😢, que Deus conforte a família desse sr;;;;;
neutro;positivo;não;Porque o proprietário não tomou providência para ligar para a polícia ambiental para capturar esse animal Jaque o senhorzinho morava sozinho sem defesa num pesqueiro desse grande esse trabalho era de alta periculosidade vamos respeitar a família para poder receber todos os seus direitos trabalhista que esta esculpido na CF do Brasil visto que ele faleceu no trabalho.;;;;;
neutro;neutro;não;A onça era alimentada com frequência pelos barqueiros da região, que levavam turistas ao local, cobrando por isso. Isso está claro, quando diz que o animal não se intimida com a presença de pessoas. Infelizmente o ribeirinho foi a vítima (já anunciada pelo amigo) de uma atividade considerada ILEGAL e inconsequente. Que a polícia investigue o caso e prendam os barqueiros responsáveis.;;;;;
neutro;neutro;não;Rapaz aqui ta cheio de especialistas em onça, que isso, so feras, parabéns galera.;;;;;
neutro;neutro;não;Nessa propriedade não deveria haver ao menos uns três ou quatro cães, pelo menos, com funções de alerta?;;;;;
neutro;neutro;não;Com 94kg,e “tá magra”. Imagina a força dessa criatura;;;;;
neutro;neutro;não;Me formei em biologia em 2005 e ao longo desses anos tive alguns contatos com especialistas em grandes felinos e também com muitos moradores de zonas rurais, que sempre me relataram ser muito raro o ataque de onças aos humanos.. E até acredito que seja mesmo...<br>Mas a impressão é de que esses ataques estão aumentando a frequência ultimamente... Ou talvez temos mais acesso às informações e também é mais fácil divulgar o ocorrido, de tempos pra cá...;;;;;
neutro;negativo;não;Tá explicado. O básico de qualquer manual de acampamento é o cuidado com os restos de alimentos, no caso de limpar peixes na beira do rio se não puder levar o resto do peixe, o melhor a fazer é jogar na água.;;;;;
negativo;neutro;sim;Você tem toda a razão animais estão sendo mais valorizados do que o ser humano;;;;;
neutro;neutro;sim;Eles jamais vão falar a verdade.<br>Se inventaram a mentira, é pq não querem que a verdade apareça...😢;;;;;
neutro;neutro;não;94 kg 😮😮😮😮 o bicho é grande pra caramba brother😮😮😮 coitado do moço,mas infelizmente foi uma fatalidade!!;;;;;
positivo;neutro;não;Sinto pelo falecimento do caseiro. Deus conforte a família.  Que bom que a resgataram deve estar debilitada. Preservar onças, a natureza é importante.  Bacana a reportagem.;;;;;
neutro;neutro;não;Gente  como doi ver essa cena  deus conforte  a familia;;;;;
neutro;neutro;não;Parabéns pelas informações, essa é a melhor e bem mais esclarecedora reportagem.;;;;;
neutro;neutro;não;Viva ao YouTube... para que mais assitir TV.  A matéria ficou show, parabéns! 👏;;;;;
neutro;negativo;não;Claro ...se você eu não ficaria lá..vazava p longe 😮 o medo é uma forma da gente se proteger..;;;;;
neutro;neutro;não;"<a href=""https://www.youtube.com/watch?v=CUf1T3dPFj4&amp;t=85"">1:25</a> o que o cara falou na zoeira, se tornou realidade &quot;A onça vai comer o Jorge&quot; as palavras tem poder!!";;;;;
negativo;neutro;sim;No Brasil, a vida de um animal vale mais que a do homem...;;;;;
neutro;positivo;não;O que ele poderia fazer?Parece que ele era o caseiro né.;;;;;
neutro;neutro;não;Ótima reportagem! Parabéns pelo ótimo trabalho! Quem dera a mídia em geral fosse mais assim como vcs!;;;;;
neutro;neutro;não;Boa noite pra mim foi a melhor reportagem completa.;;;;;
negativo;neutro;sim;A onça é mais protegida do que o ser humano.Esse é o nosso país.;;;;;
negativo;neutro;sim;Num éh?!...;;;;;
neutro;neutro;não;@@robertosilveira2566 mas é geralmente isso que acontece, ele acostuma com as coisas fáceis e ai quando não dá parte para cima. Nos EUA tem muito isso com o urso preto.;;;;;
neutro;positivo;não;@@Eduardo-wz1fw não é verdade, o cunhado dele já desmentiu isso, ele não cevava as onças. Foi só inocência mesmo, ele achava que não seria atacado pq as onças andavam por lá há muito tempo e nunca tinha acontecido nada;;;;;
negativo;negativo;não;Ouvi uma fala q pra mim foi exatamente oq aconteceu (a onça amansou ele )e axo q ele perdeu a noção do perigo q no mínimo sempre q fosse pro quintal uma boa faca pantaneira como companheira, e fica aqui nosso profundo sentimento ao familiares.;;;;;
neutro;negativo;não;O cunhado tava brincando mais ai ja foi um alerta pra ele ficar esperto mais infelizmente seu Jorge nao acreditou  que ela pudesse atacalo porque nao é normal uma onça ficar perto de   seres humanos mais como eles  deixaram ela se aproximar deles além dos peixes que tinha ali por perto a onça viu seu Jorge uma presa facil poriço o atacou muito triste mais aconteceu essa fatalidade;;;;;
neutro;neutro;sim;Duas não  eram três  onças  uma fêmea e  dois machos;;;;;
neutro;negativo;não;Parabéns pela explicação meus sentimentos a família de seu Jorge. Minha opinião ele se descuido pós sabia que a onça estava na porta da casa dele deveria andar armado antes o ser humano vivo do que a onça. Mais agora esse trabalhador não volta mais. Resta agora os outros trabalhadores andar armado. Essa onça deveria ser solta dentro das salas dos peritos tem muitas gente sofrendo por enfermidade muitos sem poder andar vai lá eles nega um benefício que é direto da gente.;;;;;
neutro;neutro;não;Acostumaram a onça com comida fácil resolveu parar de caçar jacaré e outras presas pra que trabalhar afinal?parece até uma região do Brasil Acostumaram com bolsa família.;;;;;
neutro;neutro;não;​@@luispaulocarvalhorachi6553e ali onde tinha as pegadas era onde ele limpava os peixes .acho que também isso atraíram eles;;;;;
neutro;negativo;não;Uma lição com essa tragédia:<br>Nunca subestime o seu adversário!<br>O cunhado tinha alertado ele!<br>Mas ele levou a profecia na brincadeira!;;;;;
negativo;positivo;não;Quanto  dinheiro gastado pra proteger uma fera dessa e o Jorge  k era um trabalhador pensou nele  se ele estivesse  matado  ela estava na cadeia  mas ela não  está  sendo protegida . E a família  dele alguém aí  pensou????;;;;;
negativo;negativo;sim;Quer dizer que a recomendação se encontrar a onça é chamar a polícia ou o corpo de bombeiros? Então a onça vai esperar eu fazer a ligação para esses órgãos responsável? Coitado do seu George ele escutou vocês.😮;;;;;
negativo;negativo;sim;Se o Jorge tivesse matado ela ,ia preso ,e multa milionária ,os valores se inverteram,triste;;;;;
neutro;neutro;não;A culpa é do patrão, sabia dos riscos que o caseiro passava e não quis fazer nada;;;;;
negativo;negativo;sim;Que coisa mais linda, olha a chance que a onça deu ao seu Jorge de procurar polícia ambiental,devorou o homem agora vai ser tratada como rainha,se eu morasse nessa região certamente seria preso porque se viesse no meu pátio era recebida com chumbo;;;;;
neutro;neutro;não;Jesus filho do Deus vivo e soberano, o Salvador do mundo!;;;;;
positivo;negativo;não;Esse vídeo me explicou muita coisa, a onça não estava caçando o caseiro como dizem, ela estava atrás de peixe, esse felino estava faminto, provavelmente não tinha Muitos animais pra ela caçar, o caseiro estava no lugar errado na hora errada, onças não caçam humanos elas tem medo do homem, não duvido nada Q as pessoas daquele pesqueiro jogava peixe pras onças, essa onça sabia que ali é um pesqueiro, por isso sempre ia lá atrás de Peixes 😮;;;;;
positivo;neutro;não;Lamentável né,deveria ter mais cuidado pois foram vistas no local 😣,apesar de ser um dos  animais mais lindo da natureza e muito feroz tb,o certo não seria invadir o habitat natural deles né!;;;;;
negativo;neutro;sim;Aqui no Pará próximo a Altamira uma onça pegou uma criança,  fizeram muito esforço para encontrar o rapaz que matou essa onça ,e ainda é por que a criança era filho de uma prima do perfeito no município em que ocorreu o caso.o ser humano tem menos importância que esses animais.;;;;;
positivo;neutro;não;SIM tem mais onças POIS é o hábitat delas, e ñ é todas  q pegou o sr Jorge foi só uma q já pegaram ela;;;;;
positivo;neutro;não;Os animais possuem um certo nível de racionalidade e os humanos são mais instintivos do que as pessoas comuns acreditam de acordo com as neurociências, etologia e outras disciplinas que estudam o cérebro de pessoas e bichos.;;;;;
neutro;neutro;não;Será que que foi a mesma onça que atacou ele que foi capturada?;;;;;
negativo;neutro;não;"comeu carne humana vai  caçar carne humana sempre..<a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a>";;;;;
negativo;neutro;sim;Cara eu conheço a Amazônia,  você fala que onça lá tá em extinção você não conhece nada. Kkkkkkk.  Lá você tropeça em onça. Kkkkkkk;;;;;
neutro;positivo;não;Mesmo seres humanos podem comer outros em situações de fome e sobrevivência extrema como ocorreu com os passageiros do avião 571 que caiu na Cordilheira dos Andes entre outros casos.;;;;;
negativo;positivo;não;Esses animais quando bem alimentados não atacam o homem, mas quando estão com fome e sem a caça que eles estão acostumados, eles acabam atacando qualquer coisa que se meche. O sr. Jorginho está nos braços do Pai Celestial, quanto ao animal ele só tem essa vida.;;;;;
negativo;negativo;não;@@MegaLemoslemos mas ele viu que  ela tava rodando muito perto..poderia ter saído do rancho..eu em , essas onças são perigosas..;;;;;
negativo;neutro;não;Se ele tivesse matado a onça ele tinha Cido preso  como o causo da moça do Rio de Janeiro , mas foi o contrário a onça o matou ainda vai recebe um as excelente atemdimento;;;;;
negativo;positivo;não;Eu sonhei que os animais da selva estavam famintos. E eu sentia até dó. Mas eles estavam proximos as cidades...Tadinho desse senhor. Ele confiou demais.;;;;;
