video;onca;caseiro;fake news;ironia;notícia;Conservacionistas;comment_text
video0;neutro;neutro;não;sim;neutra;;Solta no congresso
video0;neutro;neutro;não;não;boa;;vídeo direto, respeitoso, sem sensacionalismo e sem fake news
video0;neutro;neutro;não;não;boa;;Essa reportagem foi a melhor parabéns
video0;neutro;negativo;não;não;neutra;;As patas 🐾 das onças no chão foi um aviso pra seu Jorge ficar mais atento .Infelizmente  a onça  e a morte já estavam rodeando ele.
video0;neutro;negativo;não;não;neutra;;Se o cara viu que onça estava rondando a casa dele literalmente, deveria ter tomado providencias! Não se brinca com essas coisas!
video0;neutro;neutro;não;não;neutra;;Os animais são irracional, não age por maldade, age por instinto.Que Deus conforte essa família.
video0;neutro;positivo;não;não;boa;;Equipe de reportagem está de parabéns! Minha solidariedade aos familiares e amigos da vítima.
video0;neutro;neutro;não;não;boa;;Parabéns pelo vídeo. Sem sensacionalismo e informativo. Coisa rara hoje em dia.
video0;neutro;neutro;não;não;neutra;;Essa fatalidade só  ocorreu pq várias pessoas que pescavam jogavam peixe para ela comer como a onça é um animal oportunista, nesse local ela tinha água ( rio) e os humanos dando peixe para ela quando iam pescar, ela tomou aquele local como seu território e com isso ela não  via seu Jorge como uma ameaça  e aconteceu o ataque ( pq estava com fome) por estar mal acostumada a ter acesso ao alimento de forma fácil. Predadores nao querem gastar emergia demasiada para caçar  se tiver animais que são  mais faceis de predar ( cães, galinhas, bezerros, porcos) ela vai ficar próxima  ao local é  onde pode acontecer um acidente e infelismente uma fatalidade como essa. Esse animal só  foi capturado pq a probabilidade de ela atacar um ser humano novamente pode ser grande.
video0;negativo;negativo;não;não;neutra;;É estratégia da onça, observar e marcar o território. <br>A onça já vinha sondando o rancho já há dias, e estava na espreita do caseiro. <br>O ataque era só questão de oportunidade. <br>O caseiro infelizmente vacilou, estava muito tranquilo e despreocupado com as pegadas de duas onças rodeando o local.
